,RunId,iteration,Step,height,width,density,minority_pc,preference,happy,avg_utility_type0,avg_utility_type1
0,0,0,0,70,60,0.7,0.0,0.0,0,0.0,0.0
1,0,0,11,70,60,0.7,0.0,0.0,2961,0.0003231292517006803,0.0
2,1,0,0,70,60,0.7,0.0,0.25,0,0.0,0.0
3,1,0,50,70,60,0.7,0.0,0.25,2573,0.00037131519274376414,0.0
4,1,0,100,70,60,0.7,0.0,0.25,2603,0.0003429705215419501,0.0
5,2,0,0,70,60,0.7,0.0,0.5,0,0.0,0.0
6,2,0,50,70,60,0.7,0.0,0.5,1277,6.639642158233156e-05,0.0
7,2,0,100,70,60,0.7,0.0,0.5,1443,9.726493337060851e-05,0.0
8,3,0,0,70,60,0.7,0.0,0.75,0,0.0,0.0
9,3,0,50,70,60,0.7,0.0,0.75,718,6.680411890783711e-05,0.0
10,3,0,100,70,60,0.7,0.0,0.75,819,-3.6692759295499035e-06,0.0
11,4,0,0,70,60,0.7,0.0,1.0,0,0.0,0.0
12,4,0,50,70,60,0.7,0.0,1.0,580,-3.2615786040443576e-05,0.0
13,4,0,100,70,60,0.7,0.0,1.0,668,2.2675736961451248e-05,0.0
14,5,0,0,70,60,0.7,0.1,0.0,0,0.0,0.0
15,5,0,50,70,60,0.7,0.1,0.0,2433,0.00030549256739732924,0.0001417233560090703
16,5,0,100,70,60,0.7,0.1,0.0,2462,0.0004535147392290249,0.0007369614512471655
17,6,0,0,70,60,0.7,0.1,0.25,0,0.0,0.0
18,6,0,50,70,60,0.7,0.1,0.25,1943,9.27026061566179e-05,-0.00039488398098965616
19,6,0,100,70,60,0.7,0.1,0.25,1985,3.3812992472483666e-05,-0.000997402385611779
20,7,0,0,70,60,0.7,0.1,0.5,0,0.0,0.0
21,7,0,50,70,60,0.7,0.1,0.5,1062,9.424495318167855e-05,-0.0011035007610350077
22,7,0,100,70,60,0.7,0.1,0.5,1175,5.70129117095849e-05,-0.0009765321653775666
23,8,0,0,70,60,0.7,0.1,0.75,0,0.0,0.0
24,8,0,50,70,60,0.7,0.1,0.75,668,0.0003023431594860166,-0.0008987784611561519
25,8,0,100,70,60,0.7,0.1,0.75,722,2.998408901866175e-05,-0.000647656322803094
26,9,0,0,70,60,0.7,0.1,1.0,0,0.0,0.0
27,9,0,50,70,60,0.7,0.1,1.0,586,0.00023935500125976314,-0.0008386916410399776
28,9,0,100,70,60,0.7,0.1,1.0,671,-2.5885544476542517e-05,-0.0006057217407510949
29,10,0,0,70,60,0.7,0.2,0.0,0,0.0,0.0
30,10,0,50,70,60,0.7,0.2,0.0,2004,0.00038619614512471655,7.086167800453515e-05
31,10,0,100,70,60,0.7,0.2,0.0,2041,0.0004712301587301587,0.00012755102040816325
32,11,0,0,70,60,0.7,0.2,0.25,0,0.0,0.0
33,11,0,50,70,60,0.7,0.2,0.25,1330,7.899135681669928e-05,0.00021637079489329983
34,11,0,100,70,60,0.7,0.2,0.25,1436,0.00037025226757369617,-0.0005847544497250955
35,12,0,0,70,60,0.7,0.2,0.5,0,0.0,0.0
36,12,0,50,70,60,0.7,0.2,0.5,854,6.052363867921599e-05,-0.00031693613518466747
37,12,0,100,70,60,0.7,0.2,0.5,975,5.7417373342030864e-05,-0.0006170790233901781
38,13,0,0,70,60,0.7,0.2,0.75,0,0.0,0.0
39,13,0,50,70,60,0.7,0.2,0.75,630,0.0002657312925170068,-0.0002633045227223309
40,13,0,100,70,60,0.7,0.2,0.75,689,2.5104933525921782e-05,-0.0001907926412574162
41,14,0,0,70,60,0.7,0.2,1.0,0,0.0,0.0
42,14,0,50,70,60,0.7,0.2,1.0,580,0.00034013605442176874,-0.00022132140527443854
43,14,0,100,70,60,0.7,0.2,1.0,685,-7.862734134749789e-05,-4.659398005777653e-05
44,15,0,0,70,60,0.7,0.30000000000000004,0.0,0,0.0,0.0
45,15,0,50,70,60,0.7,0.30000000000000004,0.0,1363,0.0005830903790087463,-0.00028344671201814054
46,15,0,100,70,60,0.7,0.30000000000000004,0.0,1586,0.0005830903790087463,0.0002645502645502645
47,16,0,0,70,60,0.7,0.30000000000000004,0.25,0,0.0,0.0
48,16,0,50,70,60,0.7,0.30000000000000004,0.25,925,4.576194469960261e-07,-0.00015240114310564407
49,16,0,100,70,60,0.7,0.30000000000000004,0.25,1101,0.0005264010366051182,-0.0003031520827509086
50,17,0,0,70,60,0.7,0.30000000000000004,0.5,0,0.0,0.0
51,17,0,50,70,60,0.7,0.30000000000000004,0.5,631,8.850082759783625e-05,-0.0001459944708476998
52,17,0,100,70,60,0.7,0.30000000000000004,0.5,745,9.92063492063492e-05,-0.0001727860093809213
53,18,0,0,70,60,0.7,0.30000000000000004,0.75,0,0.0,0.0
54,18,0,50,70,60,0.7,0.30000000000000004,0.75,571,0.00031584062196307096,-0.0001390053738390333
55,18,0,100,70,60,0.7,0.30000000000000004,0.75,622,0.00021967120181405899,-0.0001838844365752389
56,19,0,0,70,60,0.7,0.30000000000000004,1.0,0,0.0,0.0
57,19,0,50,70,60,0.7,0.30000000000000004,1.0,575,-8.985981868285474e-05,-0.00028732954368962193
58,19,0,100,70,60,0.7,0.30000000000000004,1.0,672,-8.653167725015642e-05,0.00037792894935752074
59,20,0,0,70,60,0.7,0.4,0.0,0,0.0,0.0
60,20,0,50,70,60,0.7,0.4,0.0,895,4.724111866968993e-06,0.00033304988662131513
61,20,0,100,70,60,0.7,0.4,0.0,1504,0.0006802721088435374,-0.00043934240362811797
62,21,0,0,70,60,0.7,0.4,0.25,0,0.0,0.0
63,21,0,50,70,60,0.7,0.4,0.25,602,5.5508314436885855e-05,3.363502935420741e-05
64,21,0,100,70,60,0.7,0.4,0.25,723,-9.377038486627529e-05,2.303004535147391e-05
65,22,0,0,70,60,0.7,0.4,0.5,0,0.0,0.0
66,22,0,50,70,60,0.7,0.4,0.5,505,-3.08037979270856e-05,-8.187921287236357e-05
67,22,0,100,70,60,0.7,0.4,0.5,601,6.11545988258317e-05,-1.1017534867828421e-05
68,23,0,0,70,60,0.7,0.4,0.75,0,0.0,0.0
69,23,0,50,70,60,0.7,0.4,0.75,501,0.00020667989417989417,-5.135044885534123e-05
